track,algorithm,texts,miss,miss_count,typos
7b0f8df28f98bdcd65e48d4799c1f98f.wav,5,TO LEARN MORE ABOUT THE NEW STARTRECH SERIES CHECK OUT THE FOLLOWING STAR TRECH THE NEXT GENERATION COMPANION STAR TRECHT,"['TRECH', 'TRECHT']",2,True
211fbbdb342c2bbbac43fd4c908e239a.wav,5,THE WORLD'S LARGEST ENERGY COMPAINY HAS BEEN FORCED TO PAY A TEN DOLLARS MILLION FINE AFTER IT DISCOVERED A HADIN CATE OF WEAPONS HIDDEN IN THE COMPAIGN,"['COMPAINY', 'COMPAIGN']",2,True
807587f93df68fd50120fa1f3684b5ec.wav,5,THE FIRST TIME I SAW VITTY OF THE NEW SAMSON GALLITS SIX WAS A FEW MONTHS IGH E,"['VITTY', 'GALLITS']",2,True
78724d807be41abdd1a4d661d6535d1f.wav,5,A MAN WAS STABBED IN THE HEART BY A KNIFE WAILDING MAN OUTSIDE A MOUST IN A BUSY BUSY NEIGHBOURHOOD IN CENTRAL LONDEDEDEN,"['WAILDING', 'MOUST']",2,True
86195fbf1d21aeeb9a956e56dd88f1b6.wav,5,I THINK THE FIRST THING WE NEED TO BE DOING IS ASKING OURSELVES WHAT ARE WE TRYING TO DOSE AT SORINSON HELL,['SORINSON'],1,True
8fa0377cc906aee9ed346cc1b5cb1d3d.wav,5,THE MOST RECENT DATE AVAILABLE IS A NEW STUDY OF THE NUMBER OF PEOPLE WHO HAVE BEEN DYNOSED WITH CANCER IN THE UNITED STATES WHICH SUGGESTS THAT,['DYNOSED'],1,True
e699913cdd2a6773623b7027ecd32dfe.wav,5,THE FIRST TIME I SAW ABREDIO OF THE VEDIO I WAS STUNNED,['VEDIO'],1,True
a24bbf73e353f430dba5c5ff8d651b6a.wav,5,AS AN ALTERNATIVE TO THE STANDARD WE'RE NOT GOING TO TAKE ANY ACTION POLICY THE NATIONAL COLLITION OF WOMEN VOTERS HAS DECIDED TO PENT,['COLLITION'],1,True
7e05e73230bb5936de69fb5eee9f6762.wav,5,THE NATIABLE ASSOCIATION OF MANUFACTURERS NUM IS AN INDEPENDENT TRADE GROUP AT REPRESENCE MORE THAN THIRTY MANUFACTURERS INCLUDING AUTOMOTIVE HAIRASPACE AND AIR,"['NATIABLE', 'REPRESENCE', 'HAIRASPACE']",3,True
5dee2a367819fd0f948b75da0c906ba4.wav,5,THE FIRST THING I DID WAS TO GO TO THE LOCAL STORE AND BUY A FEW BAGS OF DIFT OF THE MONTH AND,['DIFT'],1,True
ddb0462b630bef9d8ef9a904332cd168.wav,5,THE AMERICAN CIVILIRITIES UNION ACLEA IS CALLING ON PRESIDENT TRUN TO RESIGN THE OBAMAD MINISTRATION'S BAN ON TRAIL FROM SEVEN MAJORITY MAS LEFLAN,"['CIVILIRITIES', 'ACLEA', 'OBAMAD', ""MINISTRATION'S"", 'LEFLAN']",5,True
