filepath,label
/content/drive/MyDrive/data/logmel_dataset/cv4_fastspeech2/00050dd7458cf08e594c797930696bce.npy,0
/content/drive/MyDrive/data/logmel_dataset/cv4_fastspeech2/001f59a6ef884e2071ba1ee52cba8d09.npy,0
/content/drive/MyDrive/data/logmel_dataset/cv4_fastspeech2/0022a32237a11ee475c7b96d82369596.npy,0
/content/drive/MyDrive/data/logmel_dataset/cv4_fastspeech2/006c78a2629d193baf69107e6f9557ff.npy,0
/content/drive/MyDrive/data/logmel_dataset/cv4_fastspeech2/0081bef2286c79fd30cae67792086100.npy,0
/content/drive/MyDrive/data/logmel_dataset/cv4_fastspeech2/00a0661d8351e5132cb0df5e1b4f19e2.npy,0
/content/drive/MyDrive/data/logmel_dataset/cv4_fastspeech2/00d4474165837abbefaf1ae62bfa67e8.npy,0
/content/drive/MyDrive/data/logmel_dataset/cv4_fastspeech2/00e8192f13a7f88b34ced7f34cbb9089.npy,0
/content/drive/MyDrive/data/logmel_dataset/cv4_fastspeech2/00fc3aadcf32ffe53c6674db7fe10382.npy,0
/content/drive/MyDrive/data/logmel_dataset/cv4_fastspeech2/0132f5f7e19195c1b3af229f7aaaad36.npy,0
/content/drive/MyDrive/data/logmel_dataset/cv4_fastspeech2/019419ed1653008c16c5d0ed0429b279.npy,0
/content/drive/MyDrive/data/logmel_dataset/cv4_fastspeech2/022f05f75900fa348511f670a0bc51a8.npy,0
/content/drive/MyDrive/data/logmel_dataset/cv4_fastspeech2/0233b65a29b38df44c46c76edd119d7e.npy,0
/content/drive/MyDrive/data/logmel_dataset/cv4_fastspeech2/026173998e20f51d8f0bc385a8650830.npy,0
/content/drive/MyDrive/data/logmel_dataset/cv4_fastspeech2/026f9a811bf7070ecf2b969b264075fa.npy,0
/content/drive/MyDrive/data/logmel_dataset/cv4_fastspeech2/0278b6894ba835406bc495231f412a42.npy,0
/content/drive/MyDrive/data/logmel_dataset/cv4_fastspeech2/02ea6ae6d089e307517527f853ed834b.npy,0
/content/drive/MyDrive/data/logmel_dataset/cv4_fastspeech2/02fb0a724189891ccef0887ae616b469.npy,0
/content/drive/MyDrive/data/logmel_dataset/cv4_fastspeech2/03b139a024aa9164bd3e709fe97af48d.npy,0
/content/drive/MyDrive/data/logmel_dataset/cv4_fastspeech2/03cb404586ec3fba16e86f79cff43bc5.npy,0
/content/drive/MyDrive/data/logmel_dataset/cv4_fastspeech2/03ffc5cf546ec0eb2e3f116a57de1b52.npy,0
/content/drive/MyDrive/data/logmel_dataset/cv4_fastspeech2/0477538c378d971418d852b78fc3c4ea.npy,0
/content/drive/MyDrive/data/logmel_dataset/cv4_fastspeech2/04b54a09dc496497c11eaec782b0ec19.npy,0
/content/drive/MyDrive/data/logmel_dataset/cv4_fastspeech2/04ec189e4fb0af254c26a97a5e0d1063.npy,0
/content/drive/MyDrive/data/logmel_dataset/cv4_fastspeech2/05031ad3f06891b28cd3849810b1af03.npy,0
